name,playable,status,for_sale,expansion,price,price_text,rating,bgg_link,players,age,time,category,play_style,blurb,pick_by,pick_note,rec_list,rec_note,notes,rules_link
20 Questions,yes,,,,,2+,8+,30 mins,"Party, Family",competitive,5.8,https://boardgamegeek.com/boardgame/3377,Taboo's quieter guessing cousin,,,,,,,
3 Ring Circus,yes,,,,,2-4,10+,60-90 mins,"Strategy, Family",competitive,7.2,https://boardgamegeek.com/boardgame/371947,a compact touring euro in the Concordia spirit,,,,,,,
5 Minute Marvel,yes,,,,,2-5,8+,5 mins,"Cooperative, Action",co-op,6.7,https://boardgamegeek.com/boardgame/253618,5-Minute Dungeon wearing Avengers suits,,,,,,,
5 Second Rule,yes,,,,,3+,10+,20 mins,"Party, Family",competitive,5.5,https://boardgamegeek.com/boardgame/86073,Tapple's shout-it-fast sibling,,,,,,,
7 Wonders,yes,,yes,,~$80,2-7,10+,30 mins,"Strategy, Family",competitive,7.7,https://boardgamegeek.com/boardgame/68448,"Sushi Go grown up, the benchmark drafting game",,,,,,,
7 Wonders Duel,yes,,,,,2,10+,30 mins,Strategy,competitive,8.1,https://boardgamegeek.com/boardgame/173346,7 Wonders rebuilt for two,,,,,,,
A Game Called Birds,yes,,,,,3-8,12+,30 mins,"Party, Conversation",competitive,,https://boardgamegeek.com/boardgame/436363,Top Trumps for Australian birds. A spinner picks the stat,,,,,,,
A Game of Thrones 2nd Edition,yes,,,,,3-6,14+,180 mins,"Strategy, Thematic",competitive,7.5,https://boardgamegeek.com/boardgame/103343,Diplomacy in Westeros,,,,,,,
A Little Wordy,yes,,,,,2,10+,15-20 mins,"Word, Strategy",competitive,6.7,https://boardgamegeek.com/boardgame/335869,Scrabble tiles turned into a two-player deduction duel,,,,,,,
A&A: Pacific 1940,no,,yes,,~$140,2-4,12+,240 mins,"Wargame, Strategy",teams,7.6,https://boardgamegeek.com/boardgame/55829/axis-and-allies-pacific-1940,"Axis & Allies 1942, deeper and longer",,,,,,,
Adventure Time: Card Wars,yes,,,,,2,10+,30 mins,"Strategy, Card Game",competitive,6.1,https://boardgamegeek.com/boardgame/144728,"Magic: The Gathering lite, in cartoon form",,,,,,,
Aethermon,yes,,,,,2-4,8+,30 mins,"Strategy, Card Game",competitive,6.6,https://boardgamegeek.com/boardgame/388721/aethermon-collect,Pokémon battling grown into a board game,,,,,,,
Agricola,yes,,,,,1-5,12+,30-150 mins,Strategy,competitive,7.9,https://boardgamegeek.com/boardgame/31260,"the classic farming euro, Caverna's stricter parent",,,,,,,
Alchemists,yes,,yes,,~$90,2-4,13+,120 mins,"Strategy, Deduction",competitive,7.6,https://boardgamegeek.com/boardgame/161970,Sherlock Holmes deduction inside Lords of Waterdeep worker placement,Jehan,"Deduction masterpiece, big teach",,,,,
Anomia,yes,,,,,3-6,10+,30 mins,"Party, Word",competitive,6.7,https://boardgamegeek.com/boardgame/67877,"snap with categories, Ghost Blitz energy",,,,,,,
Aquaduck,yes,,no,,,1-6,10+,60-120 mins,"Card Game, City Building",competitive,9.5,https://boardgamegeek.com/boardgame/434415/aqueducks,City-states vie to be the heart of the Roman Eggpublic in this 3D city-builder. ,,,,,,,
Arboretum,yes,,,,,2-4,8+,30 mins,"Strategy, Card Game",competitive,7.2,https://boardgamegeek.com/boardgame/140934,"Lost Cities' beautiful, brutal cousin",,,,,,,
Arcs,no,,yes,,$80–110,2-4,14+,60-120 mins,"Strategy, Science Fiction",competitive,8.0,https://boardgamegeek.com/boardgame/359871/arcs,"Root and Oath, condensed into 90 minutes",,,,,,,
Arcs: The Blighted Reach,no,,yes,yes,~$140,2-4,14+,90-180 mins,"Strategy, Expansion",competitive,9,https://boardgamegeek.com/boardgame/363757/arcs-the-blighted-reach-expansion,"Oath, a competitive campaign epic",Jehan,,,,,,
Ark Nova,yes,,,,,1-4,14+,90-150 mins,"Strategy, Economic",competitive,8.5,https://boardgamegeek.com/boardgame/342942,Terraforming Mars with zoos,,,,,,,
Art Decko,yes,,,,,2-4,10+,45-60 mins,"Deck Building, Family",competitive,6.8,https://boardgamegeek.com/boardgame/260316,Dominion-style deck building about collecting art,,,,,,,
AssassinCon,yes,,,,,4-6,12+,60 mins,"Deduction, Party",competitive,5.7,https://boardgamegeek.com/boardgame/154778,Ultimate Werewolf loose at a convention,,,,,,,
Asteroyds,yes,,,,,2-6,10+,30-45 mins,"Racing, Tactical",competitive,6.3,https://boardgamegeek.com/boardgame/65200,RoboRally-style programming at speed,,,,,,,
AutoCorrect,yes,,,,,3-8,12+,20 mins,Party,competitive,,https://boardgamegeek.com/boardgame/452407,Cards Against Humanity's texting cousin,,,,,,,
Avalon,yes,,,,,5-10,13+,30 mins,"Party, Social Deduction",teams,7.5,https://boardgamegeek.com/boardgame/128882,"The Resistance with Merlin, the social-deduction standard",,,,,,,
Awkward Guests - The Mr Walton Case,yes,,,,,2-8,12+,45-75 mins,Deduction,competitive,7.5,https://boardgamegeek.com/boardgame/188866,Cluedo grown into a real deduction engine,,,,,,,
Axis & Allies (1942),no,,yes,,~$90,2-5,12+,3h+,"Wargame, Strategy",teams,7.2,https://boardgamegeek.com/boardgame/41863,"Risk, grown up",,,,,,,
Azul,yes,,yes,,~$65,2-4,8+,30-45 mins,"Abstract Strategy, Family",7.8,7.8,https://boardgamegeek.com/boardgame/230802/azul,"Cascadia's abstract cousin, pattern-drafting tiles",,,,,,,
Backgammon,yes,,,,,2,8+,30 mins,"Abstract Strategy, Classic",competitive,6.6,https://boardgamegeek.com/boardgame/2397,"the original roll-and-move duel, five thousand years running",,,,,,,
Balderdash,yes,,,,,2-6,12+,60 mins,"Party, Word",competitive,6.5,https://boardgamegeek.com/boardgame/163,"bluff the definition, Fibbage before phones",,,,,,,
BANG! Old Saloon expansion,yes,,,yes,,4-7,8+,20-40 mins,"Party, Social Deduction",competitive,,https://boardgamegeek.com/boardgameexpansion/193614,extra characters and cards for BANG!,,,,,,,
BANG! The Card Game,yes,,,,,4-7,8+,20-40 mins,"Party, Card Game",teams,6.5,https://boardgamegeek.com/boardgame/3955,spaghetti-western Werewolf with bullets,,,,,,,
BANG! The Dice Game,yes,,,,,3-8,8+,15-30 mins,"Party, Dice Game",teams,6.9,https://boardgamegeek.com/boardgame/143741,BANG! condensed into dice,,,,,,,
Barcelona,yes,,,,,2-4,12+,60-120 mins,"Strategy, Economic",competitive,7.7,https://boardgamegeek.com/boardgame/383607,Brass Birmingham's Spanish cousin,,,,,,,
Betrayal at Baldur's Gate,yes,,,,,3-6,12+,60 mins,"Horror, Cooperative",co-op,7.1,https://boardgamegeek.com/boardgame/228660,Betrayal at House on the Hill gone D&D,,,,,,,
Betrayal at House on the Hill,yes,,yes,,~$80,3-6,12+,60 mins,"Horror, Cooperative",co-op,7,https://boardgamegeek.com/boardgame/10547,Dead of Winter's haunted-house little sibling,,,,,,,
Beyond the Sun,yes,,,,,2-4,14+,90-120 mins,"Strategy, Sci-Fi",competitive,7.9,https://boardgamegeek.com/boardgame/317985,"a tech-tree race, Through the Ages distilled",,,,,,,
Bigger is Better,yes,,,,,3-8,12+,30 mins,"Party, Humor",competitive,,https://boardgamegeek.com/boardgame/297123,party silliness in the Cards Against Humanity vein,,,,,,,
Bitoku,yes,,,,,1-4,14+,120 mins,"Strategy, Fantasy",competitive,7.8,https://boardgamegeek.com/boardgame/323612,"Everdell's mystical, heavier cousin",,,,,,,
Black Mirror Nose Dive,yes,,,,,3-6,13+,45-60 mins,Social Strategy,competitive,4,https://boardgamegeek.com/boardgame/265316,The Game of Life scored by social ratings,,,,,,,
Block Party,yes,,,,,2-8,8+,20-30 mins,"Party, Dexterity",competitive,6.6,https://boardgamegeek.com/boardgame/379300,Jenga meets Pictionary with blocks,,,,,,,
Blokus,yes,,,,,2-4,7+,20-30 mins,"Abstract Strategy, Family",competitive,6.9,https://boardgamegeek.com/boardgame/2453,Tetris as an area-control duel,,,,,,,
Blood on the Clocktower,yes,,,,,5-20,15+,60-120 mins,"Party, Social Deduction",teams,8.3,https://boardgamegeek.com/boardgame/240980,Werewolf perfected. Death doesn't end your game,,,,,,,
Bohnanza: 25th Anniversary Edition,yes,,,,,2-7,12+,45 mins,"Family, Card Game",competitive,7.1,https://boardgamegeek.com/boardgame/11,"the bean-trading classic, Catan's haggling with no board",,,,,,,
boop.,yes,,yes,,~$60,2,10+,20 mins,"Abstract Strategy, Family",competitive,7.4,https://boardgamegeek.com/boardgame/355433,tic-tac-toe with cat physics,,,,,,,
Brass Birmingham,yes,,,,,2-4,14+,60-120 mins,"Economic, Strategy",competitive,8.6,https://boardgamegeek.com/boardgame/224517,"the canal-era economic classic, Concordia with teeth",,,,,,,
Brew Crafters,yes,,,,,2-5,13+,90-120 mins,"Worker Placement, Economic",competitive,7.3,https://boardgamegeek.com/boardgame/139898,Viticulture with beer,,,,,,,
Cape May,yes,,,,,1-4,13+,90-120 mins,"Strategy, Economic",competitive,7.2,https://boardgamegeek.com/boardgame/281248,"a gentle seaside euro, Viticulture's beach holiday",,,,,,,
Caravan,yes,,,,,2-4,10+,45-60 mins,"Strategy, Economic",competitive,6.6,https://boardgamegeek.com/boardgame/269789,a route-and-trade euro in the Concordia family,,,,,,,
